CRASH ID|ON RD CD|SVRTY|DATE|TYPE|
106966487|40001716|3|05/22/2022 21:19|19|
108385261|40001003|5|01/27/2026 17:34|24|
108305597|40001003|5|11/14/2025 23:09|17|
107194517|40001003|4|12/27/2022 13:16|21|
107422984|40001003|3|08/08/2023 17:51|24|
107628588|40001716|4|02/18/2024 18:47|19|
107653866|40001003|5|03/09/2024 20:52|19|
107693756|40002638|5|04/21/2024 03:38|19|
107863508|40001003|5|09/25/2024 22:04|19|
107867161|40002638|4|09/29/2024 21:32|30|
107896873|40001716|5|10/17/2024 21:50|26|
107897875|40001003|5|10/24/2024 11:43|24|
107899978|40001716|5|10/27/2024 04:47|19|
107954933|40001716|5|12/11/2024 02:08|19|
108306761|40001003|5|11/15/2025 18:14|24|
108319539|40001003|3|11/24/2025 15:03|19|
108401181|40001003|5|02/12/2026 17:39|24|
