CRASH ID|ON RD CD|SVRTY|DATE|TYPE|
104509841|40001716|5|09/29/2015 22:36|19|
104781542|40001716|6|07/05/2016 02:42|19|
105014768|40001003|4|02/17/2017 21:20|23|
105286496|40001716|5|11/08/2017 11:34|19|
105342823|40001003|5|01/03/2018 21:23|29|
105714555|40001003|2|12/15/2018 18:26|23|
105723251|40001716|3|12/26/2018 22:25|19|
105998918|40001003|5|09/05/2019 17:30|25|
106060542|40001003|5|11/13/2019 14:55|21|
106062228|40001003|3|11/14/2019 15:43|21|
106116382|40001003|5|01/04/2020 14:56|24|
105559557|40001003|5|07/28/2018 19:39|19|
105381930|40001003|5|01/02/2016 19:00|17|
104515269|40001003|5|10/07/2015 20:06|23|
104830578|40001716|5|08/26/2016 22:29|19|
104866057|40001716|5|09/23/2016 13:44|24|
104895997|40001003|4|10/27/2016 07:05|23|
104990692|40001003|5|01/30/2017 06:13|24|
105002026|40001003|4|02/07/2017 08:43|24|
105479722|40001003|3|05/10/2018 14:23|23|
105647086|40001003|4|10/23/2018 06:34|23|
105740600|40001003|4|01/08/2019 14:08|24|
105736892|40001003|4|01/09/2019 18:07|23|
105765030|40001003|4|02/03/2019 18:28|29|
105771630|40001003|5|02/11/2019 19:51|23|
105801434|40001003|3|03/11/2019 17:20|23|
105827464|40001003|4|04/08/2019 19:20|23|
105832371|40001003|5|04/12/2019 17:17|23|
105926749|40001003|5|07/15/2019 13:07|24|
105960507|40001003|4|08/15/2019 08:05|23|
105967757|40001003|4|08/21/2019 12:25|23|
106005220|40001003|4|09/26/2019 20:37|24|
106034045|40001003|5|10/22/2019 18:40|21|
106053590|40001003|5|11/07/2019 17:04|24|
106058911|40001700|4|11/11/2019 16:26|23|
106063478|40001003|5|11/15/2019 17:36|23|
106063621|40001003|4|11/16/2019 12:20|23|
106141821|40001003|3|01/30/2020 19:13|23|
106143808|40001003|4|01/31/2020 19:04|23|
106165663|40001003|5|02/19/2020 07:35|24|
106178669|40001003|5|03/07/2020 14:15|23|
106196146|40001003|4|03/18/2020 19:23|23|
