"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"JOHNSTON","51","4","All and Rural","","12/1/2013","5/31/2026","12.50","0"
"Road Name","Road Code"
"SR 1003","40001003"
"BUFFALO","50004182"
"WENDELL","50032464"
"LAKE WENDELL","50016884"
"SR 1701","40001701"
"EAGLE ROCK","50009137"
"SR 2638","40002638"
"SR 1716","40001716"
"07/14/2026","Page 1 of 74"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"491","BUFFALO","0.000","S","*LCL 3862 BUFFALO RD ","*LCL 3862 BUFFALO RD ","","999.999","","105904161","2019-06-21","1","1","0","1","O"
"491","BUFFALO","0.000","","*LCL 4407 BUFFALO RD ","OLD BEULAH","","999.999","","105977928","2019-08-31","28","1","0","1","A"
"0","PVA ARCHER LODGE MS","0.000","","SR 1701","SR 1747","","999.999","","108447557","2026-03-25","20","1","7","1","O"
"0","PVA FLOWERS STORE","0.000","","SR 1003","NC 42","","999.999","","106714400","2021-10-01","30","1","8","1","O"
"0","SR 1003","0.100","W","*LCL ARCHER LODGE RD ","SR 1700","","999.999","","105514109","2018-06-16","19","1","0","1","C"
"0","SR 1003","0.000","","*LCL CLARK POND RD ","NC 42","","999.999","","104668391","2016-02-18","21","1","8","1","C"
"0","SR 1003","0.000","","*LCL DEMILT DRIVE ","SR 1770","","999.999","","105783353","2019-02-22","17","2","0","5","O"
"0","SR 1003","0.000","","*LCL PVA HARRIS TEETER ","NC 42","","999.999","","105979361","2019-09-01","24","1","8","1","O"
"0","SR 1003","0.000","","*LCL RIVER DELL ELEMENTARY ","NC 42","","999.999","","104853929","2016-09-19","24","2","8","1","C"
"0","SR 1003","0.000","","*LCL RIVER DELL RUN ","SR 1908","","999.999","","106005393","2019-09-28","21","1","8","1","C"
"0","SR 1003","0.000","","*LCL RIVER DELL TOWNES DR ","NC 42","","999.999","","105502153","2018-06-05","24","1","7","1","O"
"0","SR 1003","0.000","","*LCL SAM & HELEN PL ","NC 42","","999.999","","107411745","2023-07-29","21","1","0","5","O"
"0","SR 1003","0.200","S","*LCL SHAWAN RD ","SR 1718","","999.999","","108023560","2025-02-17","21","1","0","1","O"
"0","SR 1003","0.009","E","*PP 9411 BUFFALO RD ","DEAD END","","999.999","","108245867","2025-09-28","19","1","0","8","O"
"0","SR 1003","0.000","","PVA PERCY FLOWERS","NC 42","","999.999","","105493825","2018-05-26","24","1","4","1","O"
"0","SR 1003","0.000","","PVA PETCO","SR 1735","","999.999","","107283353","2023-03-24","26","1","4","1","O"
"0","SR 1003","0.000","","PVA RIVER DELL ELEMENTARY","SR 1700","","999.999","","104835084","2016-08-30","28","1","0","1","O"
"0","SR 1003","0.000","","PVA RIVER DELL ELEMENTARY","SR 2659","","999.999","","104250924","2014-12-19","24","1","8","1","C"
"0","SR 1003","0.000","","PVA THE GROCERY BAG","SR 1735","","999.999","","105686525","2018-11-20","26","1","4","5","O"
"0","SR 1701","0.000","","*LCL ETOWAH DR ","SR 1747","","999.999","","107054643","2022-08-22","30","1","0","1","O"
"","SR 1701","0.000","","*LCL ETOWAH DR ","SR 1700","","999.999","","107749066","2024-06-03","21","2","0","1","C"
"721","SR 1701","0.000","","*LCL TAST DR ","AUTUMN RIDGE","","999.999","","105799174","2019-03-11","24","1","8","1","O"
"0","SR 1701","0.004","N","*LCL TAST DRIVE ","SR 1716","","999.999","","105466442","2018-05-01","21","1","8","1","C"
"0","SR 1701","0.000","","PVA ARCHER LODGE MIDDLE","SR 1747","","999.999","","107868345","2024-09-25","23","1","7","1","O"
"0","SR 1701","0.000","","PVA ARCHER LODGE PVA","SR 1747","","999.999","","105818152","2019-03-28","22","1","7","1","O"
"0","SR 1716","0.000","","PVA CORINTH HOLDERS ","NC 96","","999.999","","107563566","2023-12-13","30","1","4","1","O"
"07/14/2026","Page 2 of 74"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"FIRE"
"0","SR 2638","0.000","","*LCL DENTON LN ","NC 96","","999.999","","108207709","2025-08-19","21","1","8","1","O"
"491","BUFFALO","0.000","","BAUGH","","BUFFALO","999.999","","104487179","2015-08-26","30","1","8","1","C"
"491","BUFFALO","0.000","S","BAUGH","","BUFFALO","999.999","","105487309","2018-05-15","30","1","0","1","O"
"491","BUFFALO","0.000","","BUFFALO","BUFFALO","BUFFALO","999.999","","106339440","2020-09-17","28","2","0","1","O"
"502","BUFFALO","0.000","","DURWOOD STEPHENSON","","BUFFALO","999.999","","104388073","2015-05-19","23","1","7","1","B"
"0","NC 231","0.000","","SR 1701","SR 1719","NC 231","0.182","","107075443","2022-09-10","19","2","8","5","O"
"0","NC 231","0.000","","SR 1701","SR 1709","NC 231","0.182","","106874200","2022-02-23","19","1","8","5","C"
"0","NC 231","0.000","","SR 1701","SR 1718","NC 231","0.182","","106864205","2022-02-16","24","1","8","1","C"
"0","NC 231","0.000","","SR 1701","CL-WAKE","NC 231","0.182","","106786302","2021-11-25","24","1","8","1","O"
"0","NC 231","0.000","","SR 1701","SR 1778","NC 231","0.182","","106712282","2021-09-29","21","1","8","1","O"
"0","NC 231","0.000","","SR 1701","SR 1718","NC 231","0.182","","106515812","2021-03-12","24","1","8","1","O"
"0","NC 231","0.000","","SR 1701","NC 231","NC 231","0.182","","105484155","2018-05-02","19","1","8","5","O"
"0","NC 231","0.000","","SR 1701","SR 1720","NC 231","0.182","","105222833","2017-09-16","21","1","8","1","O"
"0","NC 231","0.000","","SR 1701","SR 1726","NC 231","0.182","","104495665","2015-09-18","21","1","9","1","O"
"0","NC 231","0.000","","SR 1701","CL-WAKE","NC 231","0.182","","104232339","2014-11-30","19","1","8","5","O"
"0","NC 231","0.000","","SR 1701","CL-WAKE","NC 231","0.182","","108262285","2025-10-10","29","1","8","5","O"
"0","NC 231","0.000","","SR 1701","CL-WAKE","NC 231","0.182","","108351757","2025-12-23","26","1","8","5","O"
"0","NC 231","0.000","","SR 1701","SR 1720","NC 231","0.182","","107731017","2024-05-24","24","1","8","1","C"
"0","NC 231","0.000","","SR 1701","SR 2357","NC 231","0.182","","107286727","2023-03-24","24","1","8","1","O"
"0","NC 231","0.000","","SR 1003","SR 1719","NC 231","999.999","","106806692","2021-12-16","19","1","0","5","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","104247720","2014-12-15","30","1","7","1","A"
"0","NC 42","0.000","","SR 1003","NC 96","NC 42","16.393","","107034545","2022-08-01","24","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","106304993","2020-08-12","23","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","107080645","2022-09-12","21","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","105688452","2018-11-26","23","1","7","3","C"
"0","NC 42","0.000","","SR 1003","SR 1712","NC 42","16.393","","104018778","2014-03-18","30","2","7","4","A"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","105975007","2019-08-30","23","1","7","1","A"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","106838081","2022-01-19","26","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","104153810","2014-09-15","24","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 2269","NC 42","16.393","","104657862","2016-02-26","30","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","105064121","2017-04-09","24","1","7","1","O"
"07/14/2026","Page 3 of 74"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","NC 42","0.000","","SR 1003","SR 1704","NC 42","16.393","","105342182","2017-12-25","30","1","7","5","C"
"0","NC 42","0.000","","SR 1003","NC 96","NC 42","16.393","","105348291","2018-01-09","23","1","7","2","C"
"0","NC 42","0.000","","SR 1003","NC 96","NC 42","16.393","","106348848","2020-09-11","24","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1704","NC 42","16.393","","106699889","2021-09-18","31","1","7","1","O"
"0","NC 42","0.000","","SR 1003","","NC 42","16.393","","104705874","2016-04-10","30","1","7","1","O"
"0","NC 42","0.000","","SR 1003","FLOWER","NC 42","16.393","","105727801","2018-12-30","24","1","7","1","C"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","106123826","2020-01-09","21","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","106222918","2020-05-11","13","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","104775009","2016-05-30","30","1","7","1","B"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","106029732","2019-10-15","23","1","7","5","C"
"0","NC 42","0.000","","SR 1003","SR 1704","NC 42","16.393","","106562937","2021-05-01","29","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","106852431","2022-01-31","24","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","106217858","2020-05-03","29","1","7","1","A"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","105745074","2019-01-14","23","1","7","5","O"
"0","NC 42","0.000","","SR 1003","SR 1704","NC 42","16.393","","106122304","2020-01-10","24","1","7","1","C"
"0","NC 42","0.000","","SR 1003","SR 1704","NC 42","16.393","","107298414","2023-04-05","21","2","7","4","B"
