"Municipality","On Road","Miles","Dir From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S","Latitude","Longitude","Source"
"NEW SALEM","LOVE MILL","0.026","S","GREEN","SANTA CLAUS","SR 1001","8.623","","106457925","2021-01-07","5","1","0","1","C","","",""
"UNIONVILLE","SR 1619","0.0","","SR 1681","","SR 1619","0.573","","107533157","2023-11-19","19","1","8","1","O","35.07597","-80.49265","DMV349CLEANED"
"UNIONVILLE","SIKES MILL","0.17","S","HAIGLER BAUCOM","PIEDMONT SCHOOL","SIKES MILL","999.999","","106479132","2021-02-03","19","1","0","1","C","","",""
"UNIONVILLE","SIKES MILL","0.0","","TOM BOYD","LAWYERS","SR 1001","3.461","","106133705","2020-01-23","30","1","7","1","O","","",""
"UNIONVILLE","SIKES MILL","0.26","S","BAUCOM","US 601","SR 1001","1.092","","105898128","2019-06-13","17","1","0","5","O","","",""
"UNIONVILLE","SIKES MILL","0.0","","TOM HELMS","PIEDMONT SCHOOL","SR 1001","4.094","","107101493","2022-10-06","28","1","10","1","O","","",""
"UNIONVILLE","SR 1001","0.5","E","US 601","SPRING LAKE","SR 1001","0.5","","108339974","2025-12-02","17","2","0","1","O","35.03374","-80.53659","DMV349CLEANED"
"RURAL","SIKES MILL","0.002","S","SPRING LAKE","US 601","SR 1001","0.883","","106059402","2019-11-08","19","2","0","4","B","","",""
"RURAL","SIKES MILL","0.0","","NC 218","*LCL OLD FISH RD ","SIKES MILL","999.999","","106882446","2022-02-27","21","2","7","1","O","","",""
"UNIONVILLE","SR 1619","0.095","E","SR 1001","SR 1606","SR 1619","0.095","","107771302","2024-06-25","17","1","0","5","O","35.0802","-80.49869","DMV349CLEANED"
"UNIONVILLE","SIKES MILL","0.009","N","BAUCOM","CHANEY","SR 1001","1.361","","104780506","2016-07-02","21","1","8","1","O","","",""
"UNIONVILLE","US 601","0.0","","SIKES MILL","BAUCOM DEESE","US 601","18.007","","107221390","2023-01-20","24","1","8","1","O","","",""
"FAIRVIEW","SR 1606","0.18","N","SR 1547","SR 1607","SR 1606","1.407","","108377689","2026-01-09","19","1","5","5","K","35.150173","-80.47355","DMV349CLEANED"
"UNIONVILLE","SIKES MILL","0.3","N","TOM BOYD","TOM HELMS","SR 1001","3.761","","107879671","2024-10-11","21","1","0","1","O","","",""
"UNIONVILLE","LOVE MILL","0.19","NE","SIKES MILL","PIEDMONT SCHOOL","LOVE MILL","999.999","","107148213","2022-11-16","21","1","0","1","O","","",""
"RURAL","SR 1001","0.2","S","SR 1619","SR 1615","SR 1001","3.261","","107272200","2023-03-14","17","1","0","5","O","","",""
"UNIONVILLE","SR 1606","0.079","S","SR 1638","SR 1678","SR 1606","5.095","","107321031","2023-04-20","22","1","0","1","K","","",""
"RURAL","SIKES MILL","2.0","N","CHANEY","UNIONVILLE","SR 1001","4.11","","108420506","2026-02-27","29","2","0","5","O","","",""
"RURAL","LOVE MILL","0.14","S","BRASSWELL RUSHING","HAIGLER BAUCOM","SR 1001","5.825","","106148368","2020-02-06","19","2","0","1","O","","",""
"UNIONVILLE","LOVE MILL","0.058","N","ZEBULON WILLIAMS","HAGLER","SR 1001","6.748","","107006747","2022-07-05","29","1","0","1","C","","",""
"FAIRVIEW","SR 1606","0.0","","SR 1547","NC 218","SR 1606","1.587","","107701512","2024-04-27","30","1","8","1","O","35.15793","-80.47559","DMV349CLEANED"
"RURAL","SIKES MILL","1.1","N","CONCORD","BAUCOM","SR 1001","1.1","","106028073","2019-10-18","17","1","0","5","O","","",""
"UNIONVILLE","SIKES MILL","0.23","NE","TOM BOYD","LAWYERS","SR 1001","3.691","","106477388","2021-01-26","17","2","0","5","O","","",""
"UNIONVILLE","SIKES MILL","0.019","S","BAUCOM","US 601","SR 1001","1.333","","108314414","2025-11-21","21","2","0","1","O","","",""
"UNIONVILLE","SR 1615","0.02","S","SR 1617","SR 1001","SR 1615","2.204","","107082068","2022-09-08","19","2","0","5","B","","",""
"RURAL","SR 1606","0.0","","SR 1547","SR 1607","SR 1606","1.587","","107960659","2024-12-15","30","1","7","5","C","35.147841","-80.47553","DMV349CLEANED"
"UNIONVILLE","SIKES MILL","0.19","S","SPRING LAKE","US 601","SR 1001","0.695","","107653448","2024-03-12","29","1","0","5","O","","",""
"UNIONVILLE","SR 1606","0.3","S","SR 1638","SR 1001","SR 1606","5.316","","108460445","2026-04-08","23","1","5","1","O","35.099553","-80.49195","DMV349"
"RURAL","SR 1001","0.2","S","SR 1664","SR 1663","SR 1001","9.445","","108045760","2025-03-12","17","1","0","1","O","35.147788","-80.43851","DMV349CLEANED"
"UNIONVILLE","HAIGLER BAUCOM","0.005","E","SIKES MILL","LOVE MILL","","999.999","","107442545","2023-08-30","21","2","8","1","O","","",""
"UNIONVILLE","SIKES MILL","0.0","","TOM BOYD","LOVE MILL","SR 1001","3.461","","107870118","2024-10-03","30","1","7","1","O","","",""
"UNIONVILLE","SR 1001","0.4","SE","SR 1665","SR 1620","SR 1001","1.815","","107984794","2025-01-07","18","1","0","5","O","35.064187","-80.51922","DMV349CLEANED"
"RURAL","SR 1001","0.0","","NC 218","SR 1547","SR 1001","8.137","","107456725","2023-09-12","30","1","7","1","C","","",""
"UNIONVILLE","LOVE MILL","0.0","","*LCL PIEDMONT SCH DR ","SIKES MILL","","999.999","","108397947","2026-02-10","26","1","8","1","O","","",""
"UNIONVILLE","PVA PIEDMONT MIDDLE","0.0","","SR 1001","DEAD END","","999.999","","105740561","2019-01-07","21","1","8","1","O","","",""
"RURAL","SR 1001","0.8","S","SR 1664","SR 1663","SR 1001","8.845","","106283239","2020-07-21","29","1","0","1","O","","",""
"RURAL","SR 1001","0.0","","SR 1620","SR 1615","SR 1001","1.352","","106971893","2022-05-28","23","1","8","1","O","","",""
"FAIRVIEW","SIKES MILL","0.095","N","BRIEF","OLD FERRY","SIKES MILL","999.999","","105713579","2018-12-18","17","1","0","1","O","","",""
"RURAL","US 601","0.009","N","SR 1001","SR 1505","US 601","18.016","","107232412","2023-02-02","21","2","0","1","O","","",""
"UNIONVILLE","SIKES MILL","0.18","S","TOM BOYD","UNIONVILLE","SR 1001","3.281","","107631164","2024-02-22","17","1","0","3","O","","",""
"UNIONVILLE","LOVE MILL","0.095","NE","PIEDMONT SCHOOL","*LCL PURSER RUSHING RD ","SR 1001","4.699","","106705523","2021-09-23","21","1","0","1","O","","",""
"RURAL","LOVE MILL","0.0","","NC 218","","SR 1001","8.137","","106117028","2020-01-03","30","2","7","1","C","","",""
"RURAL","SIKES MILL","0.74","SW","SPRING LAKE","US 601","SR 1001","0.145","","104717808","2016-04-26","21","1","12","1","O","","",""
"RURAL","SR 1606","0.04","N","SR 1654","SR 1610","SR 1606","3.539","","107733744","2024-05-27","19","1","0","1","O","35.12204","-80.47925","DMV349CLEANED"
"UNIONVILLE","SR 1606","0.3","E","SR 1619","NC 200","SR 1606","999.999","","107329736","2023-05-07","19","1","0","5","A","35.063101","-80.489374","NCDOT_TSU"
"UNIONVILLE","SIKES MILL","0.005","N","TOM BOYD","LOVE MILL","SR 1001","3.466","","107945637","2024-12-04","21","1","7","1","C","","",""
"UNIONVILLE","SIKES MILL","0.21","N","UNIONVILLE","TOM BOYD","SR 1001","3.081","","107483858","2023-10-06","17","1","0","2","O","","",""
"UNIONVILLE","SIKES MILL","0.003","N","LAWYERS","LOVE MILL","SR 1001","4.11","","107472572","2023-09-29","28","1","10","1","O","","",""
"UNIONVILLE","PVA 3006 SIKES MILL RD","0.018","E","SR 1606","SR 1001","","999.999","","107844251","2024-09-05","31","1","0","1","O","35.09455","-80.4927","DMV349"
"UNIONVILLE","SR 1619","0.009","E","SR 2116","SR 1681","SR 1619","999.999","","107278206","2023-03-21","29","1","0","1","O","35.079021","-80.497504","ITRE_CMV"
"RURAL","SR 1001","0.5","N","SR 2713","SR 1615","SR 1001","3.025","","104716998","2016-04-22","17","1","0","5","O","","",""
