CRASH ID|ON RD CD|SVRTY|DATE|TYPE|
104716467|40001617|5|04/27/2016 19:40|30|
104890928|40001001|4|10/10/2016 08:50|30|
104901954|40001001|5|11/02/2016 07:37|30|
104942804|40001001|3|12/08/2016 16:09|30|
104987740|40001001|3|01/25/2017 13:40|30|
105210461|40001001|4|08/30/2017 08:08|30|
105326435|40001001|2|12/16/2017 11:43|30|
105520583|40001001|5|06/20/2018 19:30|19|
105535858|40001001|3|07/09/2018 08:29|30|
105553349|40001001|5|07/23/2018 19:19|18|
105885258|40001617|5|06/04/2019 07:41|29|
106126767|40001001|5|01/13/2020 13:13|21|
106133705|50028131|5|01/23/2020 08:00|30|
106286453|40001001|4|07/25/2020 10:21|30|
106743409|40001001|5|10/25/2021 19:32|30|
106772984|50028131|5|11/19/2021 08:15|30|
107601791|50028131|5|01/23/2024 08:15|30|
107870118|50028131|5|10/03/2024 15:15|30|
107902086|40001001|5|10/28/2024 18:11|30|
107945637|50028131|4|12/04/2024 15:30|21|
108250468|40001001|5|10/01/2025 20:05|30|
108279485|40001001|4|10/23/2025 12:53|30|
