"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"UNION","90","10","All and Rural","","4/1/2016","6/30/2026","10.25","150"
"Road Name","Road Code"
"SR 1001","40001001"
"SR 1617","40001617"
"SIKES MILL","50028131"
"TOM BOYD","50043323"
"SR 1619","40001619"
"SR 1606","40001606"
"LOVE MILL","50018268"
"08/18/2026","Page 1 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"558","*LCL CAR WASH PVA ","0.001","E","SR 1001","DEAD END","","999.999","","105722912","2018-12-18","31","1","0","1","O"
"558","*PP 1518 TOM BOYD RD ","0.014","W","SR 1619","*LCL - ","","999.999","","104698395","2016-04-09","31","1","5","5","O"
"0","*PP 2815 OLD CAMDEN RD ","0.019","W","SR 1606","DEAD END","","999.999","","107479024","2023-10-04","20","1","5","5","O"
"558","HAIGLER BAUCOM","0.005","E","SIKES MILL","LOVE MILL","","999.999","","107442545","2023-08-30","21","2","8","1","O"
"558","LOVE MILL","0.230","N","*LCL A G R NANCE RD ","ZEBULON WILLIAMS","","999.999","","108377465","2026-01-20","19","1","0","1","O"
"558","LOVE MILL","0.000","","*LCL PIEDMONT SCH DR ","SIKES MILL","","999.999","","108397947","2026-02-10","26","1","8","1","O"
"558","LOVE MILL","0.072","N","*LCL PURSER RUSHING RD ","HAIGLER BAUCOM","","999.999","","107756918","2024-06-20","23","1","5","3","O"
"558","LOVE MILL","0.250","N","*LCL PURSER RUSHING RD ","HAIGLER BAUCOM","","999.999","","108479327","2026-04-28","17","1","0","5","O"
"558","PIEDMONT SCHOOL","0.019","N","LOVE MILL","DEAD END","","999.999","","107528155","2023-11-14","21","1","12","1","O"
"558","PIEDMONT SCHOOL","0.005","W","SR 1001","*LCL - ","","999.999","","105971602","2019-08-26","24","1","4","1","O"
