"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"WAYNE","96","4","All and Rural","","10/1/2015","9/30/2025","10.00","150"
"Road Name","Road Code"
"NC 581","30000581"
"BILL","50002677"
"SR 1960","40001960"
"SPRING BANK","50034637"
"SPRING","50028855"
"BANK","50001579"
"NC 111","30000111"
"OLD NC 111","50036308"
"SR 1727","40001727"
"DOLLARD TOWN","50037495"
"11/25/2025","Page 1 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","*LCL 2272 NC 111 S ","0.019","W","NC 111","DEAD END","","999.999","","107283635","2023-03-25","19","1","5","1","O"
"211","*LCL 2908 US 70 W ","0.002","W","NC 581","","","999.999","","106244450","2020-04-16","21","1","0","1","O"
"211","*LCL 4273 US HWY 70 E ","0.000","W","NC 111","","","999.999","","105392517","2018-02-12","28","1","0","1","C"
"0","*LCL CHOCTAW DRIVE ","0.015","W","NC 581","SR 1336","","999.999","","108249249","2025-09-30","19","1","5","5","B"
"0","*LCL LATINO DR ","0.014","W","NC 111","DEAD END","","999.999","","106220811","2020-05-02","31","1","4","1","O"
"0","*LCL PVA OF MARATHON GAS ","0.008","W","NC 111","SR 1726","","999.999","","105142567","2017-06-24","31","1","0","1","O"
"0","*LCL SOUTHEAST DRIVE ","0.000","","NC 111","SR 1962","","999.999","","107950867","2024-12-04","24","1","8","1","O"
"0","*PP 161 SPRING BANK RD ","0.005","S","SR 1960","","","999.999","","106168810","2020-02-24","19","2","5","5","O"
"0","*PP 2133 NC 581 ","0.018","SW","NC 581","","","999.999","","105881433","2019-06-01","31","1","5","1",""
"0","*PP 4991 NC-581 ","0.028","S","NC 581","DEAD END","","999.999","","107742458","2024-06-04","31","1","0","1","O"
"0","*PP FRY DADDYS ","0.012","W","NC 581","","","999.999","","107180920","2022-12-13","20","1","0","4",""
"211","BANK","0.000","","BANK","","","999.999","","106654300","2021-06-12","3","1","","1","O"
"211","BANK","0.000","","BANK","NORTH","","999.999","","105026992","2017-02-17","21","1","","1","C"
"211","BANK","0.063","N","DOGWOOD","ROBBIN","","999.999","","107178501","2022-12-12","19","1","0","1","O"
"211","BANK","0.038","E","JEFFERSON","ROBBIN","","999.999","","106652755","2021-05-31","30","1","","4",""
"211","BANK","0.038","E","JEFFERSON","ROBBIN","","999.999","","106644432","2021-05-31","30","1","","4",""
"211","BANK","0.000","","QUAIL","SUMTER","","999.999","","105531829","2018-06-25","31","1","0","1","O"
"211","BANK","0.009","S","SUMTER","NORTH","","999.999","","105372245","2018-01-16","31","1","0","1","C"
"0","BILL","2.000","E","SR 1915","NC 111","","999.999","","104547601","2015-11-08","19","1","8","1","O"
"0","BROOKWOOD","0.009","N","NC 111","ROUSE","","999.999","","105036534","2017-03-12","29","1","0","8",""
"211","JEFFERSON","0.003","S","BANK","","","999.999","","105549481","2018-07-17","3","1","8","1","O"
"211","NC 111","0.000","","*LCL 4350 US HWY 70 E ","","","999.999","","104777743","2016-06-16","30","1","8","1","C"
"0","NC 111","0.006","S","*LCL COTTONFEILD DRIVE ","SR 1730","","999.999","","104944193","2016-12-05","19","1","0","1","O"
"0","NC 111","0.004","N","*LCL LATINO DR ","SR 1745","","999.999","","106883992","2022-03-07","21","1","8","5","C"
"0","NC 111","0.006","S","*LCL LATINO DR ","NC 55","","999.999","","108122335","2025-05-26","21","1","4","1","C"
"0","NC 111","0.004","N","*LCL LATINO DRIVE ","SR 1745","","999.999","","105401881","2018-02-28","21","1","0","1","C"
