"CRSH_ID","CNTY_NBR","MLPST_NBR","NBR_UNT_CNT","FRM_RD_CD","RD_ON_CD","DSTNC_MILE_FRM_RD_QTY","DRCTN_FRM_RD_CD","ACDNT_DT_TM","SVRTY_CD","ACC_TYP","RD_CONFIG","RD_COND","LT_COND","TRFC_CTRL","SPD_LMT_NBR","SPD_EST_NBR","SPD_AT_IMPCT_NBR","MANEUVER","VIOLATION","DIRECT","UNT_NBR"
"108052444","78","1.750","1","40001321","40001320","0","","03/17/2025 09:58","2","19","2","2","1","1","","45","","4","","W","1"
"107666960","78","1.450","1","40001321","40001320","0","","03/22/2024 23:55","3","19","2","1","5","1","","65","","4","","N","1"
"108067609","78","1.433","1","40001321","40001320","0","","04/02/2025 15:37","3","5","2","2","1","1","","60","","4","","W","1"
"108075100","78","1.800","1","40001321","40001320","0","","04/05/2025 12:00","5","19","2","1","1","1","","","","4","","E","1"
"106918221","78","1.550","1","40001321","40001320","0","","04/09/2022 08:04","5","19","2","1","1","1","","45","","4","","E","1"
"107304540","78","1.469","2","40001321","40001320","0","","04/14/2023 16:51","5","21","2","1","1","1","","45","","4","","W","1"
"107304540","78","1.469","2","40001321","40001320","0","","04/14/2023 16:51","5","21","2","1","1","1","","0","","1","","W","2"
"107421047","78","1.750","2","40001321","40001320","0","","07/02/2023 12:36","2","30","2","1","1","1","","55","","4","","S","1"
"107421047","78","1.750","2","40001321","40001320","0","","07/02/2023 12:36","2","30","2","1","1","1","","0","","","","","2"
"107822778","78","1.413","1","40001321","40001320","0","","08/18/2024 05:08","5","5","2","2","5","1","","45","","4","","W","1"
"107829164","78","1.427","2","40001321","40001320","0","","08/24/2024 16:09","5","29","2","2","1","1","","45","","4","","E","1"
"107829164","78","1.427","2","40001321","40001320","0","","08/24/2024 16:09","5","29","2","2","1","1","","45","","4","","W","2"
"107089722","78","1.450","1","40001321","40001320","0","","09/23/2022 05:20","3","19","2","1","5","1","","55","","4","","W","1"
"108244836","78","1.450","1","40001321","40001320","0","","09/27/2025 10:31","5","2","2","1","1","1","","55","","7","","E","1"
"108309866","78","1.469","1","40001321","40001320","0","","11/17/2025 08:29","5","13","2","1","1","1","","45","","4","","E","1"
