CRASH ID|ON RD CD|SVRTY|DATE|TYPE|
107822778|40001320|6|08/18/2024 05:08|5|
107829164|40001320|5|08/24/2024 16:09|29|
108067609|40001320|3|04/02/2025 15:37|5|
107089722|40001321|3|09/23/2022 05:20|19|
107666960|40001321|3|03/22/2024 23:55|19|
108244836|40001320|5|09/27/2025 10:31|2|
107304540|40001320|5|04/14/2023 16:51|21|
108309866|40001320|5|11/17/2025 08:29|13|
106918221|40001320|5|04/09/2022 08:04|19|
107421047|40001320|2|07/02/2023 12:36|30|
108052444|40001320|2|03/17/2025 09:58|19|
108075100|40001320|5|04/05/2025 15:33|19|
