"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"ROBESON","78","6","All and Rural","","7/1/2021","6/30/2026","5.00","0"
"Road Name","Road Code"
"SR 1320","40001320"
"DAIRY","50007728"
"SR 1111","40001111"
"ARCHIE","50000933"
"MCGOUGAN","50019498"
"MILK DAIRY","50037751"
"08/14/2026","Page 1 of 3"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"331","GRAHAM","0.000","","DAIRY","GLENDALE","","999.999","","107617116","2024-01-31","30","1","0","2","O"
"476","BROAD","0.000","","MCGOUGAN","STEWART","NC 20","10.916","","108198034","2025-08-03","24","1","8","1","O"
"0","NC 71","0.000","","SR 1320","DEAD END","NC 71","11.227","","107507639","2023-10-27","30","1","8","1","O"
"444","NC 71","0.000","N","SR 1320","FOURTH","NC 71","11.227","","107245583","2023-02-14","24","1","8","1","O"
"0","SR 1111","0.200","W","AUSTIN","COUNTY LINE","SR 1111","999.999","","107167782","2022-11-30","19","2","0","1","O"
"0","SR 1111","1.000","W","AUSTIN","SR 2012","SR 1111","999.999","","107681454","2024-04-04","28","1","0","1","O"
"0","SR 1320","0.100","N","SR 1319","COUNTY LINE","SR 1320","0.260","","107117595","2022-10-18","17","1","0","5","O"
"0","SR 1320","0.037","W","SR 1321","SR 1322","SR 1320","1.413","","107822778","2024-08-18","5","1","0","5",""
"0","SR 1320","0.023","W","SR 1321","SR 1322","SR 1320","1.427","","107829164","2024-08-24","29","1","0","1","O"
"0","SR 1320","0.017","W","SR 1321","SR 1322","SR 1320","1.433","","108067609","2025-04-02","5","1","0","1","B"
"0","SR 1320","0.000","","SR 1321","SR 1387","SR 1320","1.450","","108244836","2025-09-27","2","2","8","1","O"
"0","SR 1320","0.019","E","SR 1321","NC 71","SR 1320","1.469","","107304540","2023-04-14","21","1","0","1","O"
"0","SR 1320","0.019","E","SR 1321","SR 1387","SR 1320","1.469","","108309866","2025-11-17","13","7","0","1","O"
"0","SR 1320","0.100","E","SR 1321","SR 1322","SR 1320","1.550","","106918221","2022-04-09","19","1","0","1","O"
"0","SR 1320","0.300","E","SR 1321","SR 1387","SR 1320","1.750","","108052444","2025-03-17","19","1","0","1","A"
"0","SR 1320","0.300","N","SR 1321","SR 1322","SR 1320","1.750","","107421047","2023-07-02","30","1","5","1","A"
"0","SR 1320","0.007","E","SR 1387","NC 71","SR 1320","1.807","","108075100","2025-04-05","19","1","0","1","O"
"0","SR 1320","0.100","E","SR 1387","NC 71","SR 1320","1.900","","107044252","2022-08-11","23","1","0","1","B"
"0","SR 1320","0.500","E","SR 1321","THIRD","SR 1320","1.950","","107904747","2024-10-28","31","1","5","1","B"
"0","SR 1320","0.600","W","NC 71","*SR 0000 ","SR 1320","2.070","","106994693","2022-06-19","5","1","0","5","B"
"0","SR 1320","0.500","N","NC 71","SR 1387","SR 1320","2.170","","107965730","2024-12-12","17","1","0","1","O"
"0","SR 1320","0.300","N","NC 71","SR 1321","SR 1320","2.370","","107003584","2022-06-26","19","1","0","5","B"
"0","SR 1320","0.200","N","NC 71","SR 1387","SR 1320","2.470","","107075177","2022-09-10","19","2","0","1","O"
"444","SR 1320","0.100","N","NC 71","SR 1321","SR 1320","2.570","","107605506","2024-01-26","19","2","0","5",""
"0","SR 1320","0.800","S","SR 1387","NC 71","SR 1320","2.600","","106864382","2022-02-12","19","1","0","5",""
"0","SR 1320","0.100","S","NC 71","SR 1387","SR 1320","2.670","","107053481","2022-08-22","19","1","0","1","O"
"0","SR 1320","0.400","E","NC 71","SR 1387","SR 1320","2.670","","106667337","2021-08-21","19","1","0","1","O"
"0","SR 1320","1.000","E","NC 71","SR 1321","SR 1320","2.670","","107621996","2024-02-11","19","1","0","2","O"
"0","SR 1321","0.000","","SR 1320","SR 1322","SR 1321","0.000","","107089722","2022-09-23","19","1","8","5","B"
"0","SR 1321","0.000","","SR 1320","NC 71","SR 1321","0.000","","106814981","2021-12-23","19","1","8","5","A"
"0","SR 1321","0.000","","SR 1320","*LCL HUCKS DR ","SR 1321","0.000","","107666960","2024-03-22","19","2","8","5","B"
"08/14/2026","Page 2 of 3"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"Legend:","Muni. Code - Municipality Code
Dir - Direction
MP - Milepost
MA - Milepost Assumption","T - Accident Type
C - Road Condition
F - Roadway Feature
L - Light Condition
S - Accident Severity"
"08/14/2026","Page 3 of 3"
