"CRSH_ID","CNTY_NBR","MLPST_NBR","NBR_UNT_CNT","FRM_RD_CD","RD_ON_CD","DSTNC_MILE_FRM_RD_QTY","DRCTN_FRM_RD_CD","ACDNT_DT_TM","SVRTY_CD","ACC_TYP","RD_CONFIG","RD_COND","LT_COND","TRFC_CTRL","SPD_LMT_NBR","SPD_EST_NBR","SPD_AT_IMPCT_NBR","MANEUVER","VIOLATION","DIRECT","UNT_NBR"
"103410037","60","999.999","2","","50031062","0","","03/24/2012 06:27","4","14","2","3","4","3","45","20","","4","","S","1"
"103410037","60","999.999","2","","50031062","0","","03/24/2012 06:27","4","14","2","3","4","3","45","0","","","","","2"
"104759993","60","999.999","2","","50030623","0","","04/29/2016 12:16","3","15","2","1","1","3","35","0","","1","","SE","1"
"104759993","60","999.999","2","","50030623","0","","04/29/2016 12:16","3","15","2","1","1","3","35","0","","","","","2"
"105116496","60","999.999","2","","50031062","0","","05/31/2017 07:15","4","14","2","1","1","3","45","5","","7","","S","1"
"105116496","60","999.999","2","","50031062","0","","05/31/2017 07:15","4","14","2","1","1","3","45","0","","","","","2"
"105765406","60","999.999","2","","50031062","0","","02/06/2019 12:17","3","14","2","1","1","3","45","0","","","","","1"
"105765406","60","999.999","2","","50031062","0","","02/06/2019 12:17","3","14","2","1","1","3","45","45","","4","","S","2"
"105798132","60","999.999","2","","50030623","0","","03/11/2019 07:40","3","14","2","1","1","3","35","3","","7","","E","1"
"105798132","60","999.999","2","","50030623","0","","03/11/2019 07:40","3","14","2","1","1","3","35","0","","","","","2"
"105836695","60","999.999","2","","50030623","0","","04/19/2019 09:41","3","14","2","1","1","3","35","25","","8","","SW","1"
"105836695","60","999.999","2","","50030623","0","","04/19/2019 09:41","3","14","2","1","1","3","35","0","","","","","2"
"106002854","60","999.999","2","","50031062","0","","09/26/2019 09:23","4","14","2","1","1","3","45","10","","8","","E","1"
"106002854","60","999.999","2","","50031062","0","","09/26/2019 09:23","4","14","2","1","1","3","45","0","","","","","2"
