,"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Intersection Analysis Report"
"Study Criteria Summary"
"County:","GREENE","City:","All and Rural"
"Date:","11/01/2017","to","10/31/2021","Study:","41000078044BEFORE1"
"Location:","NC 91 at SR 1225 (Speights Bridge Road)/SR 1303 (Fieldsboro Road)"
"Report Details"
"Acc
No","Crash ID","Date","Accident Type","Total
Damage","Injuries","F","A","B","C","R","Condition","L","W","Road","Ch","Ci","Dv","Trfc Ctl","Op"
"1","105366208","01/22/2018 08:50","ANGLE","$","1100","0","0","0","0","1","1","2","1","0","1","1"
"Unit","1",":","1","Alchl/Drgs:","0","Speed:","15","MPH","Dir:","NE","Veh Mnvr / Ped Actn:","4","Obj Strk:",""
"Unit","2",":","1","Alchl/Drgs:","0","Speed:","55","MPH","Dir:","N","Veh Mnvr / Ped Actn:","4","Obj Strk:","58"
"2","105543910","07/16/2018 18:07","LEFT TURN, DIFFERENT ROADWAYS","$","5000","0","0","0","0","1","1","2","1","0","1","1"
"Unit","1",":","2","Alchl/Drgs:","0","Speed:","15","MPH","Dir:","S","Veh Mnvr / Ped Actn:","8","Obj Strk:",""
"Unit","2",":","10","Alchl/Drgs:","0","Speed:","55","MPH","Dir:","S","Veh Mnvr / Ped Actn:","4","Obj Strk:",""
"3","105685815","11/18/2018 14:24","ANGLE","$","9500","0","0","0","0","1","1","1","1","0","1","1"
"Unit","1",":","4","Alchl/Drgs:","0","Speed:","0","MPH","Dir:","NE","Veh Mnvr / Ped Actn:","4","Obj Strk:",""
"Unit","2",":","2","Alchl/Drgs:","0","Speed:","55","MPH","Dir:","N","Veh Mnvr / Ped Actn:","4","Obj Strk:",""
"4","105843862","04/16/2019 10:56","ANGLE","$","18500","0","0","0","3","1","1","1","1","0","1","1"
"Unit","1",":","4","Alchl/Drgs:","0","Speed:","55","MPH","Dir:","E","Veh Mnvr / Ped Actn:","4","Obj Strk:",""
"Unit","2",":","2","Alchl/Drgs:","0","Speed:","55","MPH","Dir:","N","Veh Mnvr / Ped Actn:","4","Obj Strk:","58"
"5","105880887","05/29/2019 17:07","ANGLE","$","11000","0","0","0","1","1","1","1","1","0","1","1"
"Unit","1",":","1","Alchl/Drgs:","0","Speed:","20","MPH","Dir:","W","Veh Mnvr / Ped Actn:","4","Obj Strk:",""
"Unit","2",":","1","Alchl/Drgs:","0","Speed:","55","MPH","Dir:","S","Veh Mnvr / Ped Actn:","4","Obj Strk:","58"
"6","106014182","10/04/2019 18:35","ANGLE","$","7500","0","0","0","3","1","1","1","1","0","1","1"
"Unit","1",":","1","Alchl/Drgs:","0","Speed:","55","MPH","Dir:","E","Veh Mnvr / Ped Actn:","4","Obj Strk:",""
"Unit","2",":","1","Alchl/Drgs:","0","Speed:","45","MPH","Dir:","N","Veh Mnvr / Ped Actn:","4","Obj Strk:",""
"7","106038472","10/07/2019 15:13","LEFT TURN, DIFFERENT ROADWAYS","$","13000","0","0","0","1","1","1","1","1","0","1","1"
"Unit","1",":","2","Alchl/Drgs:","0","Speed:","25","MPH","Dir:","E","Veh Mnvr / Ped Actn:","8","Obj Strk:",""
"Unit","2",":","2","Alchl/Drgs:","0","Speed:","55","MPH","Dir:","N","Veh Mnvr / Ped Actn:","4","Obj Strk:",""
"8","106226479","05/15/2020 15:32","ANGLE","$","6300","0","0","0","0","1","1","1","1","0","13","1"
"Unit","1",":","4","Alchl/Drgs:","0","Speed:","55","MPH","Dir:","W","Veh Mnvr / Ped Actn:","4","Obj Strk:",""
,"05/29/2026","All data presented in this report comes explicitly from the Traffic Engineering Accident Analysis
System based upon various input criteria provided by the report's creator. The onus is strictly upon the user of this report to exercise due diligence in interpreting and further representing this data.","-1-"
,"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Intersection Analysis Report"
"Acc
No","Crash ID","Date","Accident Type","Total
Damage","Injuries","F","A","B","C","R","Condition","L","W","Road","Ch","Ci","Dv","Trfc Ctl","Op"
"Unit","2",":","2","Alchl/Drgs:","0","Speed:","55","MPH","Dir:","S","Veh Mnvr / Ped Actn:","4","Obj Strk:",""
"Legend for Report Details:","Acc No - Accident Number
Injuries: F - Fatal, A - Class A, B - Class B, C - Class C
Condition: R - Road Surface, L - Ambient Light, W - Weather
Rd Ch - Road Character
Rd Ci - Roadway Contributing Circumstances
Trfc Ctl - Traffic Control: Dv - Device, Op - Operating
Alchl/Drgs - Alcohol Drugs Suspected
Veh Mnvr/Ped Actn - Vehicle Maneuver/Pedestrian Action
Obj Strk - Object Struck"
,"05/29/2026","All data presented in this report comes explicitly from the Traffic Engineering Accident Analysis
System based upon various input criteria provided by the report's creator. The onus is strictly upon the user of this report to exercise due diligence in interpreting and further representing this data.","-2-"
,"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Intersection Analysis Report"
"Summary Statistics"
"High Level Crash Summary"
"Crash Type","Number of
Crashes","Percent
of Total"
"Total Crashes","8","100.00"
"Fatal Crashes","0","0.00"
"Non-Fatal Injury Crashes","4","50.00"
"Total Injury Crashes","4","50.00"
"Property Damage Only Crashes","4","50.00"
"Night Crashes","0","0.00"
"Wet Crashes","0","0.00"
"Alcohol/Drugs Involvement Crashes","0","0.00"
"Crash Severity Summary"
"Crash Type","Number of
Crashes","Percent 
of Total"
"Total Crashes","8","100.00"
"Fatal Crashes","0","0.00"
"Class A Crashes","0","0.00"
"Class B Crashes","0","0.00"
"Class C Crashes","4","50.00"
"Property Damage Only Crashes","4","50.00"
"Vehicle Exposure Statistics"
"Annual ADT =","1500"
"Total Vehicle Exposure =","2.19 (MEV)"
"Crash Rate","Crashes Per 100 Million
Vehicles Entered"
"Total Crash Rate","365.05"
"Fatal Crash Rate","0.00"
"Non Fatal Crash Rate","182.52"
"Night Crash Rate","0.00"
"Wet Crash Rate","0.00"
"EPDO Rate","1715.72"
,"05/29/2026","All data presented in this report comes explicitly from the Traffic Engineering Accident Analysis
System based upon various input criteria provided by the report's creator. The onus is strictly upon the user of this report to exercise due diligence in interpreting and further representing this data.","-3-"
,"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Intersection Analysis Report"
"Miscellaneous Statistics"
"Severity Index =","4.70"
"EPDO Crash Index =","37.60"
"Estimated Property Damage Total = $","71900.00"
"Accident Type Summary"
"Accident Type","Number of
Crashes","Percent
of Total"
"ANGLE","6","75.00"
"LEFT TURN, DIFFERENT ROADWAYS","2","25.00"
"Injury Summary"
"Injury Type","Number of
Injuries","Percent
of Total"
"Fatal Injuries","0","0.00"
"Class A Injuries","0","0.00"
"Class B Injuries","0","0.00"
"Class C Injuries","8","100.00"
"Total Non-Fatal Injuries","8","100.00"
"Total Injuries","8","100.00"
,"05/29/2026","All data presented in this report comes explicitly from the Traffic Engineering Accident Analysis
System based upon various input criteria provided by the report's creator. The onus is strictly upon the user of this report to exercise due diligence in interpreting and further representing this data.","-4-"
,"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Intersection Analysis Report"
"Monthly Summary"
"Month","Number of
Crashes","Percent
of Total"
"Jan","1","12.50"
"Feb","0","0.00"
"Mar","0","0.00"
"Apr","1","12.50"
"May","2","25.00"
"Jun","0","0.00"
"Jul","1","12.50"
"Aug","0","0.00"
"Sep","0","0.00"
"Oct","2","25.00"
"Nov","1","12.50"
"Dec","0","0.00"
"Daily Summary"
"Day","Number of
Crashes","Percent
of Total"
"Mon","3","37.50"
"Tue","1","12.50"
"Wed","1","12.50"
"Thu","0","0.00"
"Fri","2","25.00"
"Sat","0","0.00"
"Sun","1","12.50"
,"05/29/2026","All data presented in this report comes explicitly from the Traffic Engineering Accident Analysis
System based upon various input criteria provided by the report's creator. The onus is strictly upon the user of this report to exercise due diligence in interpreting and further representing this data.","-5-"
,"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Intersection Analysis Report"
"Hourly Summary"
"Hour","Number of
Crashes","Percent
of Total"
