Muni. Code,On Road,Miles,Dir From,From Road,Toward Road,Milepost Road,MP,MA,Crash ID,Date,T,C,F,L,S
601,CAROLINA BEACH,0.006,W,CAROLINA BEACH,ADAMS,CAROLINA BEACH,0.006,,105868662,5/19/2019,2,2,1,4,C
601,CAROLINA BEACH,0.009,S,CAROLINA BEACH,SAINT ANDREW,CAROLINA BEACH,0.009,,105620545,8/2/2018,1,1,1,5,B
601,CAROLINA BEACH,0.014,W,CAROLINA BEACH,RALEIGH,CAROLINA BEACH,0.014,,107026892,7/23/2022,30,1,2,1,O
601,CAROLINA BEACH,0.019,E,CAROLINA BEACH,TROY,CAROLINA BEACH,0.019,,105812616,3/14/2019,3,2,1,5,A
601,CAROLINA BEACH,0.05,W,CAROLINA BEACH,SHIPYARD,CAROLINA BEACH,0.05,,106363758,10/10/2020,21,1,1,1,O
601,CAROLINA BEACH,0.03,N,ACCESS,SEA BREEZE,CAROLINA BEACH,0.03,,106901951,3/7/2022,17,1,1,5,K
601,CAROLINA BEACH,0.008,E,CAROLINA BEACH,FRANCIS,CAROLINA BEACH,0.008,,106941812,5/2/2022,30,1,1,1,O
601,CAROLINA BEACH,0.004,W,CAROLINA BEACH,CANAL,CAROLINA BEACH,0.004,,107054917,8/4/2022,4,3,1,4,B
601,CAROLINA BEACH,0.07,W,CAROLINA BEACH,ADAMS,CAROLINA BEACH,0.07,,105584658,8/15/2018,30,1,1,1,O
601,CAROLINA BEACH,0.02,W,CAROLINA BEACH,BELL,CAROLINA BEACH,0.02,,106982526,6/5/2022,1,1,1,1,C
601,OTHER ROAD,0.5,N,X,Y,OTHER ROAD,5.0,,105999999,6/1/2019,2,2,1,4,C
601,CAROLINA BEACH,0.01,E,CANAL,PAVILION,CAROLINA BEACH,0.01,,107245948,2/5/2021,19,2,1,4,O
